ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CITY,STATE,COUNTRY,TERRITORY,DEALSIZE
10107,30,95.7,2,2871,24 February 2003,Shipped,1,2,2003,Motorcycles,95,S10_1678,NYC,NY,USA,,Small
10121,34,81.35,5,2765.9,05 July 2003,Shipped,2,5,2003,Motorcycles,95,S10_1678,Reims,,France,EMEA,Small
10134,41,94.74,2,3884.34,07 January 2003,Shipped,3,7,2003,Motorcycles,95,S10_1678,Paris,,France,EMEA,Medium
10145,45,83.26,6,3746.7,25 August 2003,Shipped,3,8,2003,Motorcycles,95,S10_1678,Pasadena,CA,USA,,Medium
10159,49,100,14,5205.27,10 October 2003,Shipped,4,10,2003,Motorcycles,95,S10_1678,San Francisco,CA,USA,,Medium
10168,36,96.66,1,3479.76,28 October 2003,Shipped,4,10,2003,Motorcycles,95,S10_1678,Burlingame,CA,USA,,Medium
10180,29,86.13,9,2497.77,11 November 2003,Shipped,4,11,2003,Motorcycles,95,S10_1678,Lille,,France,EMEA,Small
10188,48,100,1,5512.32,18 November 2003,Shipped,4,11,2003,Motorcycles,95,S10_1678,Bergen,,Norway,EMEA,Medium
10201,22,98.57,2,2168.54,12 January 2003,Shipped,4,12,2003,Motorcycles,95,S10_1678,San Francisco,CA,USA,,Small
10211,41,100,14,4708.44,15 January 2004,Shipped,1,1,2004,Motorcycles,95,S10_1678,Paris,,France,EMEA,Medium
10223,37,100,1,3965.66,20 February 2004,Shipped,1,2,2004,Motorcycles,95,S10_1678,Melbourne,Victoria,Australia,APAC,Medium
10237,23,100,7,2333.12,04 May 2004,Shipped,2,4,2004,Motorcycles,95,S10_1678,NYC,NY,USA,,Small
10251,28,100,2,3188.64,18 May 2004,Shipped,2,5,2004,Motorcycles,95,S10_1678,Newark,NJ,USA,,Medium
10263,34,100,2,3676.76,28 June 2004,Shipped,2,6,2004,Motorcycles,95,S10_1678,Bridgewater,CT,USA,,Medium
10275,45,92.83,1,4177.35,23 July 2004,Shipped,3,7,2004,Motorcycles,95,S10_1678,Nantes,,France,EMEA,Medium
10285,36,100,6,4099.68,27 August 2004,Shipped,3,8,2004,Motorcycles,95,S10_1678,Cambridge,MA,USA,,Medium
10299,23,100,9,2597.39,30 September 2004,Shipped,3,9,2004,Motorcycles,95,S10_1678,Helsinki,,Finland,EMEA,Small
10309,41,100,5,4394.38,15 October 2004,Shipped,4,10,2004,Motorcycles,95,S10_1678,Stavern,,Norway,EMEA,Medium
10318,46,94.74,1,4358.04,11 February 2004,Shipped,4,11,2004,Motorcycles,95,S10_1678,Allentown,PA,USA,,Medium
10329,42,100,1,4396.14,15 November 2004,Shipped,4,11,2004,Motorcycles,95,S10_1678,NYC,NY,USA,,Medium
10341,41,100,9,7737.93,24 November 2004,Shipped,4,11,2004,Motorcycles,95,S10_1678,Salzburg,,Austria,EMEA,Large
10361,20,72.55,13,1451,17 December 2004,Shipped,4,12,2004,Motorcycles,95,S10_1678,Chatswood,NSW,Australia,APAC,Small
10375,21,34.91,12,733.11,02 March 2005,Shipped,1,2,2005,Motorcycles,95,S10_1678,Nantes,,France,EMEA,Small
10388,42,76.36,4,3207.12,03 March 2005,Shipped,1,3,2005,Motorcycles,95,S10_1678,New Bedford,MA,USA,,Medium
10403,24,100,7,2434.56,04 August 2005,Shipped,2,4,2005,Motorcycles,95,S10_1678,Liverpool,,UK,EMEA,Small
10417,66,100,2,7516.08,13 May 2005,Disputed,2,5,2005,Motorcycles,95,S10_1678,Madrid,,Spain,EMEA,Large
10103,26,100,11,5404.62,29 January 2003,Shipped,1,1,2003,Classic Cars,214,S10_1949,Stavern,,Norway,EMEA,Medium
10112,29,100,1,7209.11,24 March 2003,Shipped,1,3,2003,Classic Cars,214,S10_1949,Lule,,Sweden,EMEA,Large
10126,38,100,11,7329.06,28 May 2003,Shipped,2,5,2003,Classic Cars,214,S10_1949,Madrid,,Spain,EMEA,Large
10140,37,100,11,7374.1,24 July 2003,Shipped,3,7,2003,Classic Cars,214,S10_1949,Burlingame,CA,USA,,Large
10150,45,100,8,10993.5,19 September 2003,Shipped,3,9,2003,Classic Cars,214,S10_1949,Singapore,,Singapore,Japan,Large
